"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2000","2000",83.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2001","2001",86.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2002","2002",88.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2003","2003",91.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2004","2004",95.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2005","2005",100,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2006","2006",105,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2007","2007",109.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2008","2008",115.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2009","2009",116.3,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2010","2010",123.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2011","2011",125.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2012","2012",125.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2013","2013",127.4,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUS","Australia","2014","2014",127.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2000","2000",91.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2001","2001",93.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2002","2002",94.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2003","2003",95.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2004","2004",97.5,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2005","2005",100,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2006","2006",101.9,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2007","2007",104.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2008","2008",106.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2009","2009",108.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2010","2010",109.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2011","2011",111.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2012","2012",113.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2013","2013",114.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","AUT","Austria","2014","2014",116.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","BEL","Belgium","2000","2000",90.2,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","BEL","Belgium","2001","2001",92.1,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","BEL","Belgium","2002","2002",93.8,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","BEL","Belgium","2003","2003",95.6,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","BEL","Belgium","2004","2004",97.7,,
"ECONPIBN","Gross domestic product","INDICEIP","Price index (2005=100)","BEL","Belgium","2005","2005",100,,
