"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2012","2012",79653,,
"AUS","Australia","TNBD","Total number of doctors","TOT","Total","2013","2013",82498,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",50096,,
"AUS","Australia","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",51996,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",25982,,
"AUS","Australia","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",25153,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",3575,,
"AUS","Australia","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",5349,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",32.619,,
"AUS","Australia","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",30.489,,
"AUS","Australia","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",259,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2007","2007",263332,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2008","2008",272740,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2009","2009",276751,,
"AUS","Australia","TNBN","Total number of nurses","TOT","Total","2013","2013",296029,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2007","2007",207433,,
"AUS","Australia","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",213491,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2007","2007",38108,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2008","2008",37649,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2009","2009",38975,,
"AUS","Australia","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",47507,,
"AUS","Australia","UUUN","Unknown place of training (nurses)","TOT","Total","2013","2013",35031,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2007","2007",14.471,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2008","2008",13.804,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2009","2009",14.083,,
"AUS","Australia","SFTN","% of foreign-trained nurses","TOT","Total","2013","2013",16.048,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2006","2006",30236,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2007","2007",30426,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2008","2008",31267,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2009","2009",31585,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2010","2010",32266,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2011","2011",33042,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2012","2012",33656,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2013","2013",34491,,
"AUT","Austria","TNBD","Total number of doctors","TOT","Total","2014","2014",35844,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2006","2006",29348,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2007","2007",29500,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2008","2008",30178,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2009","2009",30478,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",31091,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",31753,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",32284,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",32990,,
"AUT","Austria","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",34204,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2006","2006",888,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2007","2007",926,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2008","2008",1089,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2009","2009",1107,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",1175,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",1289,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",1372,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",1501,,
"AUT","Austria","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",1640,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2006","2006",2.937,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2007","2007",3.043,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2008","2008",3.483,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2009","2009",3.505,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2010","2010",3.642,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2011","2011",3.901,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2012","2012",4.077,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2013","2013",4.352,,
"AUT","Austria","SFTD","% of foreign-trained doctors","TOT","Total","2014","2014",4.575,,
