"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2000","2000",131.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2001","2001",138.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2002","2002",131.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2003","2003",133,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2004","2004",136.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2005","2005",140.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2006","2006",144.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2007","2007",145.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2008","2008",142.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2009","2009",144.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2010","2010",147.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUS","Australia","2011","2011",153.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2000","2000",165.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2001","2001",167.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2002","2002",162.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2003","2003",159.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2004","2004",162.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2005","2005",160,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2006","2006",167.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2007","2007",167.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2008","2008",167.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2009","2009",173.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grammes per capita per day","AUT","Austria","2010","2010",175.5,,
