"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2000","2000",85506,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2001","2001",87576,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2002","2002",89892,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2003","2003",94599,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2004","2004",97725,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2005","2005",105698,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2006","2006",110027,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2007","2007",163739,"E; B","Estimated value; Break"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2008","2008",163943,"E; B","Estimated value; Break"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2009","2009",166488,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2010","2010",172150,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2011","2011",175598,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2012","2012",178479,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2013","2013",180200,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUS","Australia","2014","2014",184832,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUT","Austria","2004","2004",53186,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUT","Austria","2007","2007",55779,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUT","Austria","2009","2009",56686,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUT","Austria","2011","2011",62519,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUT","Austria","2012","2012",65153,"D","Difference in methodology"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","AUT","Austria","2013","2013",66045,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2000","2000",123585,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2001","2001",125923,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2002","2002",125922,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2003","2003",126771,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2004","2004",127368,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2005","2005",127614,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2006","2006",128200,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2007","2007",129807,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2008","2008",131550,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2009","2009",132837,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2010","2010",133370,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2011","2011",135374,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","BEL","Belgium","2012","2012",137069,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2003","2003",229003,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2004","2004",239849,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2005","2005",248403,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2006","2006",252561,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2007","2007",258383,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2008","2008",265757,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2009","2009",261945,,
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2010","2010",259297,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2011","2011",262796,"E","Estimated value"
"BLTCLTCN","Beds in residential long-term care facilities","NOMBRENB","Number","CAN","Canada","2012","2012",261979,"E","Estimated value"
