"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2000","2000",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2001","2001",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2002","2002",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2003","2003",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2004","2004",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2005","2005",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2006","2006",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2007","2007",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2008","2008",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2009","2009",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2010","2010",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2011","2011",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2012","2012",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2013","2013",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUS","Australia","2014","2014",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2000","2000",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2001","2001",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2002","2002",97,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2003","2003",98,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2004","2004",98,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2005","2005",98,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2006","2006",98.5,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2007","2007",98.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2008","2008",98.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2009","2009",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2010","2010",99.3,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2011","2011",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2012","2012",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","AUT","Austria","2013","2013",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2000","2000",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2001","2001",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2002","2002",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2003","2003",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2004","2004",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2005","2005",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2006","2006",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2007","2007",99,"B","Break"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2008","2008",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2009","2009",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2010","2010",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2011","2011",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2012","2012",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","BEL","Belgium","2013","2013",99,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2000","2000",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2001","2001",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2002","2002",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2003","2003",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2004","2004",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2005","2005",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2006","2006",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2007","2007",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2008","2008",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2009","2009",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CAN","Canada","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2000","2000",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2001","2001",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2002","2002",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2003","2003",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2004","2004",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2005","2005",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2006","2006",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2007","2007",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2008","2008",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2009","2009",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2010","2010",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2011","2011",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2012","2012",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","CZE","Czech Republic","2013","2013",100,"E","Estimated value"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2000","2000",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2001","2001",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2002","2002",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2003","2003",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2004","2004",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2005","2005",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2006","2006",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2007","2007",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2008","2008",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2009","2009",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DNK","Denmark","2014","2014",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2000","2000",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2001","2001",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2002","2002",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2003","2003",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2004","2004",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2005","2005",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2006","2006",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2007","2007",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2008","2008",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2009","2009",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2011","2011",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2012","2012",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FIN","Finland","2013","2013",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2000","2000",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2001","2001",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2002","2002",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2003","2003",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2004","2004",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2005","2005",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2006","2006",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2007","2007",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2008","2008",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2009","2009",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2010","2010",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2011","2011",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2012","2012",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2013","2013",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","FRA","France","2014","2014",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2000","2000",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2001","2001",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2002","2002",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2003","2003",99.7,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2004","2004",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2005","2005",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2006","2006",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2007","2007",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2008","2008",99.9,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2009","2009",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2010","2010",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2011","2011",99.8,"B","Break"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2012","2012",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","DEU","Germany","2013","2013",99.8,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2000","2000",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2001","2001",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2002","2002",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2003","2003",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2004","2004",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2005","2005",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2006","2006",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2007","2007",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2008","2008",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","GRC","Greece","2013","2013",79,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2000","2000",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2001","2001",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2002","2002",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2003","2003",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2004","2004",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2005","2005",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2006","2006",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2007","2007",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2008","2008",97,"B","Break"
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2009","2009",97,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2010","2010",97,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2011","2011",96,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2012","2012",96,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","HUN","Hungary","2013","2013",96,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2000","2000",100,,
"TPRIBASI","Total public and primary private health insurance","COVPOPTX","% of total population covered","ISL","Iceland","2001","2001",100,,
